Analysis,Component name,Id numeric,Result text,Result type,Result value
FECHA-MI,Fecha comienzo de los ensayos,236761,14/11/2024,T,0.000
ENVASE,Envase,236761,Vidrio 1L,O,0.000
BIOCIDA,Biocida nombre,236761,cloro,T,0.000
BIOCIDA,Biocida neutralizante,236761,tiosulfato Na,T,0.000
PE-IL-TEMP,Temperatura del agua,236761,32.3,N,32.300
M-021,Recuento,236761,0,N,0.000
M-021,Recuento de Legionella pneumophila,236761,<10,N,10.000
M-021,Recuento transformado,236761,0.0,K,0.000
PE-IL-CL,Cloro libre,236761,0.0,N,0.000
FECHA-MI,Fecha fin de los ensayos,236761,21/11/2024,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,236762,14/11/2024,T,0.000
ENVASE,Envase,236762,Vidrio 1L,O,0.000
BIOCIDA,Biocida nombre,236762,cloro,T,0.000
BIOCIDA,Biocida neutralizante,236762,tiosulfato Na,T,0.000
FECHA-MI,Fecha fin de los ensayos,236762,21/11/2024,T,0.000
PE-IL-TEMP,Temperatura del agua,236762,60.7,N,60.700
PE-IL-CL,Cloro libre,236762,0.0,N,0.000
M-021,Recuento transformado,236762,0.0,K,0.000
M-021,Recuento de Legionella pneumophila,236762,<10,N,10.000
M-021,Recuento,236762,0,N,0.000
BIOCIDA,Biocida neutralizante,236763,tiosulfato Na,T,0.000
BIOCIDA,Biocida nombre,236763,cloro,T,0.000
ENVASE,Envase,236763,Vidrio 1L,O,0.000
FECHA-MI,Fecha comienzo de los ensayos,236763,14/11/2024,T,0.000
PE-IL-TEMP,Temperatura del agua,236763,56.6,N,56.600
M-021,Recuento transformado,236763,1.0,K,1.000
M-021,Recuento de Legionella pneumophila,236763,11,N,11.000
M-021,Recuento,236763,1,N,1.000
FECHA-MI,Fecha fin de los ensayos,236763,21/11/2024,T,0.000
PE-IL-CL,Cloro libre,236763,0.0,N,0.000
D_CONDUCT,Conductividad a 20 ºC,238091,201,N,200.500
WMM-LM-CAM,Cloro total,238091,0.55,N,0.550
D_TURBIDEZ,Turbidez,238091,<0.4,N,0.300
FECHA-AMB,Fecha comienzo de los ensayos,238091,17/02/2025,T,0.000
FECHA-AMB,Fecha fin de los ensayos,238091,19/02/2025,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,238091,17/02/2025,T,0.000
FECHA-MI,Fecha fin de los ensayos,238091,20/02/2025,T,0.000
M-016-AC1,Recuento de E. coli,238091,0,N,0.000
M-016-AC1,Recuento de bacterias coliformes,238091,0,N,0.000
M-068-AC1,Microorganismos cultivables a 22 ºC,238091,0.0,K,0.000
M-068-AC1,Microorganismos cultivables a 22º C,238091,<1,N,1.000
M-068-AC1,P1,238091,0,N,0.000
M-068-AC1,P2,238091,0,N,0.000
M-068-AC1,Recuento,238091,0,K,0.000
M-068-AC1,d,238091,0,N,0.000
MET-GRF-AC,Aluminio total,238091,70.1,N,70.070
MET-GRF-AC,Cobre total,238091,<50.0,N,2.010
MET-GRF-AC,Cromo total,238091,<10.0,N,0.050
MET-GRF-AC,Hierro total,238091,15.6,N,15.630
MET-GRF-AC,Niquel total,238091,<5.0,N,1.140
MET-GRF-AC,Plomo total,238091,<1.0,N,0.040
WMM-LM-CAM,Cloro combinado,238091,0.11,N,0.110
WMM-LM-CAM,Cloro libre,238091,0.44,N,0.440
D_PH,pH,238091,8.1,N,8.060
D_CONDUCT,Conductividad a 20 ºC,238092,199,N,199.400
WMM-LM-CAM,Cloro total,238092,0.31,N,0.310
D_TURBIDEZ,Turbidez,238092,<0.4,N,0.210
FECHA-AMB,Fecha comienzo de los ensayos,238092,17/02/2025,T,0.000
FECHA-AMB,Fecha fin de los ensayos,238092,19/02/2025,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,238092,17/02/2025,T,0.000
FECHA-MI,Fecha fin de los ensayos,238092,20/02/2025,T,0.000
M-016-AC1,Recuento de E. coli,238092,0,N,0.000
M-016-AC1,Recuento de bacterias coliformes,238092,0,N,0.000
M-068-AC1,Microorganismos cultivables a 22 ºC,238092,0.0,K,0.000
M-068-AC1,Microorganismos cultivables a 22º C,238092,<1,N,1.000
M-068-AC1,P1,238092,0,N,0.000
M-068-AC1,P2,238092,0,N,0.000
M-068-AC1,Recuento,238092,0,K,0.000
M-068-AC1,d,238092,0,N,0.000
MET-GRF-AC,Aluminio total,238092,67.4,N,67.440
MET-GRF-AC,Cobre total,238092,<50.0,N,6.210
MET-GRF-AC,Cromo total,238092,<10.0,N,0.040
MET-GRF-AC,Hierro total,238092,13.1,N,13.140
MET-GRF-AC,Niquel total,238092,<5.0,N,1.120
MET-GRF-AC,Plomo total,238092,<1.0,N,0.180
WMM-LM-CAM,Cloro combinado,238092,<0.10,N,0.040
WMM-LM-CAM,Cloro libre,238092,0.27,N,0.270
D_PH,pH,238092,8.0,N,8.000
D_CONDUCT,Conductividad a 20 ºC,238093,193,N,192.500
WMM-LM-CAM,Cloro total,238093,0.40,N,0.400
D_TURBIDEZ,Turbidez,238093,<0.4,N,0.240
FECHA-AMB,Fecha comienzo de los ensayos,238093,17/02/2025,T,0.000
FECHA-AMB,Fecha fin de los ensayos,238093,19/02/2025,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,238093,17/02/2025,T,0.000
FECHA-MI,Fecha fin de los ensayos,238093,20/02/2025,T,0.000
M-016-AC1,Recuento de E. coli,238093,0,N,0.000
M-016-AC1,Recuento de bacterias coliformes,238093,0,N,0.000
M-068-AC1,Microorganismos cultivables a 22 ºC,238093,0.0,K,0.000
M-068-AC1,Microorganismos cultivables a 22º C,238093,<1,N,1.000
M-068-AC1,P1,238093,0,N,0.000
M-068-AC1,P2,238093,0,N,0.000
